Team,SRS,SOS,Pace,OFF,FTR,EFG,TOV,ORB,DEF,Opp FTR,Opp EFG,Opp TOV,Opp ORB
Stephen F. Austin,3.37,-1.26,71.9,103.6,.356,.527,19.6,34.7,94.3,.366,.486,21.6,30.9
Stetson,-10.14,-3.87,67.5,101.6,.248,.502,16.4,29.6,104.2,.241,.522,15.2,26.8
Stony Brook,-6.67,-5.47,68.6,106.0,.269,.506,13.5,27.0,106.2,.232,.524,15.3,29.2
Syracuse,9.92,7.61,68.5,110.9,.283,.525,13.3,29.2,107.6,.235,.506,14.3,32.1
Tarleton State,-2.84,-0.16,65.7,97.8,.343,.465,16.2,28.0,99.0,.352,.513,21.4,32.4
Temple,4.71,4.40,67.1,98.6,.397,.454,15.7,32.7,98.2,.317,.455,14.8,29.3
Tennessee-Martin,-10.86,-2.75,70.6,97.6,.263,.471,16.2,30.5,104.2,.363,.497,15.8,30.5
Tennessee State,-9.03,-6.99,69.8,101.8,.318,.502,17.2,30.3,100.2,.382,.496,17.8,28.1
Tennessee Tech,-7.05,-2.82,70.6,102.2,.235,.505,16.0,31.6,103.5,.229,.509,16.0,29.7
Tennessee,20.82,10.39,68.7,105.8,.296,.503,15.3,32.8,90.7,.316,.462,20.1,27.5
Texas A&amp;M-Corpus Christi,-6.44,-8.76,72.3,105.5,.364,.495,16.5,34.6,96.6,.393,.484,20.0,27.8
Texas A&amp;M,12.12,7.26,68.7,104.6,.354,.500,16.4,34.5,95.8,.332,.478,20.9,33.5
UT Arlington,-5.21,-0.65,66.5,97.6,.288,.473,17.4,31.6,99.8,.312,.483,17.2,31.6
TCU,12.91,9.82,67.1,101.1,.312,.489,18.1,37.8,96.5,.267,.477,16.2,26.1
UTEP,0.20,-0.16,67.9,100.6,.283,.496,15.4,23.4,97.3,.388,.497,19.0,29.5
Texas-Rio Grande Valley,-9.77,-0.87,73.2,97.5,.416,.498,18.8,25.1,107.5,.360,.509,15.4,32.7
UTSA,-10.28,-1.32,70.0,95.7,.265,.445,15.2,31.0,102.8,.319,.526,15.8,25.5
Texas Southern,-2.94,-6.84,69.6,99.4,.336,.486,18.2,33.4,93.9,.341,.448,15.0,27.7
