Team,SRS,SOS,Pace,OFF,FTR,EFG,TOV,ORB,DEF,Opp FTR,Opp EFG,Opp TOV,Opp ORB
Houston Baptist,-14.09,-6.33,72.2,102.9,.383,.504,17.8,31.9,104.3,.356,.534,17.9,25.2
Houston,22.27,5.33,65.4,114.7,.287,.536,14.2,37.8,89.1,.351,.435,18.9,27.3
Howard,-6.64,-8.41,73.4,103.6,.351,.510,17.5,28.9,94.4,.340,.481,20.9,32.7
Idaho State,-14.60,-4.92,65.9,97.2,.339,.484,18.2,28.8,108.1,.345,.529,15.0,27.0
Idaho,-12.83,-4.41,71.3,101.5,.351,.512,17.0,23.6,110.7,.332,.539,12.9,25.7
Illinois-Chicago,-8.51,-6.10,69.4,102.4,.228,.514,15.2,24.6,103.8,.334,.509,15.2,26.6
Illinois State,-0.39,1.13,69.2,104.4,.314,.518,17.0,28.5,105.2,.309,.505,15.2,29.0
Illinois,17.76,9.63,68.2,110.2,.317,.531,15.2,33.4,98.4,.284,.463,13.6,25.8
Incarnate Word,-16.64,-3.95,68.4,97.9,.284,.494,17.7,23.6,111.6,.296,.561,16.3,31.1
Indiana State,-3.06,2.37,69.4,99.5,.264,.518,17.1,18.6,101.5,.250,.504,14.5,22.0
Indiana,13.88,8.27,67.9,103.9,.335,.510,15.2,27.3,95.8,.309,.458,15.6,24.9
Iona,5.18,-1.43,70.2,106.3,.372,.507,15.4,31.8,97.0,.338,.466,16.5,29.8
Iowa State,12.45,8.98,67.2,98.2,.281,.499,17.9,28.2,93.0,.363,.484,21.7,28.5
Iowa,19.82,7.34,70.4,118.2,.304,.536,11.1,32.1,100.6,.262,.498,16.7,30.0
Purdue-Fort Wayne,-5.04,-6.91,69.4,104.6,.267,.542,17.2,23.1,98.0,.261,.522,20.1,26.6
IUPUI,-23.34,-6.26,63.4,82.7,.264,.430,22.6,31.1,105.8,.359,.518,18.0,31.7
Jackson State,-9.72,-5.22,65.9,92.1,.265,.453,17.1,31.4,98.9,.366,.477,16.0,27.9
Jacksonville State,0.06,-4.32,67.5,109.1,.309,.555,17.1,29.6,98.6,.212,.482,15.4,25.6
Jacksonville,-1.88,-5.03,63.1,106.0,.297,.505,15.3,33.6,93.7,.294,.463,16.2,22.7
James Madison,-4.36,-1.33,70.5,105.1,.293,.525,15.4,26.9,102.5,.265,.518,18.7,30.9
Kansas State,10.76,9.21,67.4,101.5,.296,.494,14.9,25.3,99.2,.320,.495,17.4,28.3
Kansas,21.86,11.42,69.5,111.8,.328,.541,15.4,33.4,97.0,.278,.469,16.0,28.8
Kennesaw State,-4.25,-2.36,68.3,107.7,.297,.533,15.5,30.9,102.5,.330,.515,17.2,27.1
Kent State,0.01,-2.92,67.5,105.6,.320,.508,15.7,31.2,96.6,.357,.480,17.6,25.7
Kentucky,21.82,8.37,69.3,114.2,.272,.534,14.0,37.9,94.9,.251,.466,15.4,24.8
La Salle,-3.40,0.63,68.4,97.4,.251,.477,16.4,28.9,103.3,.310,.499,14.7,27.6
Lafayette,-12.58,-6.65,66.0,100.6,.215,.508,14.6,22.9,108.1,.261,.529,14.9,29.8
Lamar,-15.54,-2.28,67.5,90.8,.262,.447,18.5,30.2,108.1,.381,.518,15.3,30.8
Lehigh,-10.77,-7.52,68.8,99.1,.256,.520,17.6,21.1,103.3,.315,.488,13.0,25.7
Liberty,2.16,-3.71,66.0,110.3,.278,.567,15.8,23.0,95.4,.304,.469,15.6,21.9
Lipscomb,-8.24,-3.10,71.2,104.0,.351,.529,16.4,23.1,108.0,.225,.508,12.2,27.6
Long Beach State,-0.24,0.76,71.7,101.8,.386,.492,16.1,27.8,100.7,.274,.512,17.8,26.4
Long Island University,-7.58,-7.00,73.3,101.2,.297,.491,15.9,30.4,99.4,.298,.478,16.0,29.4
Longwood,0.11,-7.00,67.8,111.7,.349,.523,14.9,34.6,95.2,.256,.496,18.7,23.3
Louisiana,-2.47,-2.68,70.5,100.0,.352,.491,18.5,33.3,97.6,.342,.464,16.1,27.2
Louisiana-Monroe,-8.42,-2.31,69.7,102.7,.261,.514,16.0,25.8,105.3,.330,.521,17.3,32.7
Louisiana State,18.04,8.47,70.6,102.8,.330,.495,17.5,33.8,89.3,.384,.451,21.9,31.2
Louisiana Tech,5.43,0.30,70.0,107.4,.314,.525,14.6,26.5,97.1,.267,.478,17.0,27.1
Louisville,3.95,6.73,67.5,98.9,.251,.488,15.7,27.3,103.0,.300,.504,14.4,24.8
Loyola (IL),14.28,3.06,65.8,110.5,.317,.565,16.3,25.1,92.4,.280,.470,18.0,23.2
Loyola Marymount,-1.58,3.59,67.5,101.8,.320,.521,17.5,24.7,108.8,.316,.546,16.5,27.4
Loyola (MD),-8.43,-7.98,66.7,98.3,.245,.504,17.2,24.7,97.6,.300,.506,18.7,25.9
Maine,-18.32,-5.28,66.6,93.8,.209,.473,16.8,25.0,106.9,.328,.534,17.1,28.8
Manhattan,-7.99,-4.20,69.5,100.8,.407,.491,18.0,30.2,103.3,.347,.518,18.0,30.7
Marist,-4.59,-5.19,66.9,101.5,.250,.504,16.0,26.4,100.6,.285,.483,14.7,27.2
Marquette,12.52,9.00,71.4,103.3,.268,.526,15.7,22.4,98.4,.297,.467,16.3,31.4
Marshall,-4.41,0.30,73.3,100.9,.238,.495,15.6,27.8,104.2,.270,.509,15.9,27.9
Maryland-Baltimore County,-6.02,-6.47,68.8,106.7,.306,.524,14.3,21.9,104.3,.194,.521,14.6,27.9
Maryland-Eastern Shore,-12.94,-6.98,70.1,93.1,.305,.471,18.9,29.4,93.8,.352,.496,21.7,28.6
Maryland,9.73,9.51,67.4,104.4,.339,.494,14.7,27.3,104.1,.246,.502,14.1,27.6
Massachusetts-Lowell,-7.01,-6.59,68.9,101.8,.264,.494,15.5,29.5,94.8,.302,.470,17.6,27.7
Massachusetts,-0.55,1.83,69.2,108.1,.328,.513,14.4,29.3,111.5,.293,.552,15.7,29.7
McNeese State,-11.39,-4.66,74.2,103.0,.366,.502,18.1,36.1,102.1,.377,.508,17.2,27.3
Memphis,14.35,7.32,71.4,105.6,.384,.526,19.5,37.5,95.8,.329,.465,17.9,31.0
Mercer,-3.28,-1.03,66.3,105.5,.288,.531,16.5,25.3,105.7,.277,.518,14.7,26.2
Merrimack,-10.70,-6.66,64.0,95.2,.262,.488,16.4,22.2,99.7,.331,.486,19.4,36.0
Miami (FL),10.15,6.36,67.5,110.5,.288,.542,12.8,23.4,104.9,.247,.535,17.7,30.3
Miami (OH),-6.13,-3.93,68.9,108.3,.241,.513,13.1,27.2,105.7,.295,.517,15.7,29.1
Michigan State,13.74,10.09,68.1,105.9,.304,.520,16.7,30.7,100.6,.283,.475,13.4,27.0
Michigan,14.08,10.92,67.5,108.2,.289,.523,14.9,31.2,103.5,.266,.503,13.3,23.8
Middle Tennessee,3.97,-0.94,68.8,106.6,.320,.517,16.4,30.6,96.2,.350,.475,18.9,29.0
Milwaukee,-12.93,-6.06,68.0,95.3,.270,.477,17.2,25.9,104.1,.290,.470,12.8,29.7
Minnesota,6.40,8.60,65.5,101.5,.236,.507,12.7,17.5,104.8,.233,.512,13.9,27.4
Mississippi State,12.13,7.90,66.6,104.6,.381,.496,16.7,34.1,98.3,.283,.496,17.3,25.7
Mississippi Valley State,-21.86,-6.11,72.5,90.7,.314,.445,16.0,23.3,112.0,.364,.566,18.0,34.0
Mississippi,7.02,7.55,67.0,100.5,.287,.496,15.9,26.7,101.3,.280,.514,17.1,26.6
Kansas City,-4.96,-4.70,70.2,106.2,.311,.541,13.7,20.4,95.8,.420,.497,20.2,21.8
Missouri State,8.73,1.49,68.1,112.6,.277,.553,13.9,25.1,100.4,.277,.484,13.9,23.2
Missouri,3.27,9.43,67.4,96.8,.300,.472,18.3,32.0,104.2,.354,.506,15.8,29.7
Monmouth,-0.81,-2.10,67.1,101.5,.369,.475,15.0,29.4,99.6,.336,.473,15.4,27.9
Montana State,0.54,-5.99,69.6,109.4,.387,.544,16.2,27.3,97.3,.349,.478,16.4,22.6
Montana,-6.12,-5.85,67.5,106.5,.362,.517,13.8,19.5,98.7,.391,.494,17.4,25.0
Morehead State,1.10,-3.13,66.6,104.8,.284,.530,17.5,31.2,95.0,.231,.462,15.6,27.9
Morgan State,-12.40,-7.90,75.7,98.6,.323,.486,17.5,31.4,95.1,.416,.502,22.3,28.7
Mount St. Mary's,-8.07,-7.07,65.3,100.5,.263,.496,16.9,31.4,99.2,.260,.484,16.3,28.3
Murray State,10.38,-3.62,68.3,116.1,.313,.545,14.1,36.0,91.2,.252,.471,18.4,24.7
Navy,-2.95,-6.37,64.7,99.7,.302,.481,16.7,33.7,92.3,.314,.469,18.4,24.3
Omaha,-16.50,-1.77,71.4,97.4,.286,.492,17.1,24.2,116.9,.370,.557,13.0,29.1
Nebraska,3.49,8.74,72.0,99.8,.333,.503,15.6,20.5,107.0,.294,.515,15.7,31.3
Nevada-Las Vegas,7.66,5.05,67.0,104.3,.301,.496,14.5,27.1,97.9,.305,.475,15.1,25.5
Nevada,4.17,6.54,71.2,101.9,.321,.510,16.6,24.5,103.4,.289,.520,16.2,25.2
New Hampshire,-6.29,-7.18,63.6,108.1,.252,.515,12.4,28.8,102.2,.251,.498,13.4,21.3
New Mexico State,6.76,0.55,68.5,106.6,.348,.527,17.5,33.7,94.5,.271,.456,15.4,25.5
New Mexico,1.65,4.71,71.5,103.0,.319,.499,14.5,23.8,104.5,.342,.512,16.1,28.1
New Orleans,-7.03,-7.03,74.7,102.6,.399,.506,16.8,26.3,98.1,.319,.484,17.6,30.4
Niagara,-3.45,-3.35,65.7,101.3,.277,.501,14.7,23.2,98.4,.277,.477,15.3,26.5
Nicholls State,-3.22,-5.49,72.5,107.5,.210,.531,14.5,31.5,97.6,.339,.478,18.1,29.7
NJIT,-14.57,-6.10,67.3,92.4,.311,.467,16.8,23.0,102.7,.265,.501,14.8,27.1
Norfolk State,-3.47,-10.39,71.1,105.7,.377,.528,17.2,30.5,89.7,.329,.439,17.0,26.5
North Alabama,-11.01,-2.90,70.6,97.4,.230,.460,14.5,27.5,96.3,.395,.477,18.3,28.4
UNC Asheville,-5.15,-5.64,67.7,107.8,.376,.527,15.6,27.5,98.2,.268,.479,16.6,32.1
North Carolina A&amp;T,-9.81,-4.36,68.5,98.1,.284,.478,15.9,29.9,101.9,.365,.499,17.5,30.1
North Carolina Central,-11.26,-7.34,70.9,101.5,.363,.505,18.8,33.5,95.4,.417,.490,20.8,28.7
UNC Greensboro,-2.17,-1.77,63.3,101.5,.276,.498,17.6,33.3,101.2,.280,.503,16.7,24.7
NC State,3.50,6.09,67.9,105.4,.291,.479,12.4,30.2,109.2,.294,.534,16.0,31.1
UNC Wilmington,-2.34,-3.54,66.7,103.8,.325,.479,13.4,28.6,100.3,.326,.498,17.5,31.7
North Carolina,13.13,7.35,70.2,109.6,.296,.521,14.4,30.4,101.4,.215,.498,12.8,20.8
North Dakota State,-1.05,-4.11,68.2,108.0,.339,.528,15.0,25.3,99.2,.245,.472,11.8,21.8
North Dakota,-16.09,-4.78,69.4,100.9,.315,.481,15.0,26.6,113.2,.295,.555,12.7,25.5
North Florida,-8.05,0.38,69.1,98.4,.298,.501,18.5,26.2,102.2,.266,.470,14.4,35.9
North Texas,9.13,1.09,60.9,106.3,.374,.518,16.1,32.2,90.3,.317,.452,17.9,24.5
Northeastern,-6.20,-1.39,65.4,97.5,.306,.501,18.9,26.3,104.8,.256,.517,14.1,23.7
Northern Arizona,-13.08,-3.68,67.8,98.9,.281,.492,17.1,28.6,107.4,.341,.520,12.8,22.6
Northern Colorado,-4.17,-3.55,70.9,109.1,.310,.562,15.6,22.5,107.2,.302,.521,12.8,23.2
Northern Illinois,-10.20,-2.77,68.6,93.1,.331,.472,17.7,24.3,103.9,.407,.506,17.2,29.4
Northern Iowa,6.69,3.62,67.5,108.2,.329,.536,14.6,21.2,102.2,.231,.532,16.5,21.7
Northern Kentucky,-2.91,-5.91,65.6,104.9,.259,.503,16.6,35.3,97.7,.250,.490,18.6,30.5
Northwestern State,-13.69,-2.83,73.2,100.9,.244,.503,16.6,29.3,109.8,.315,.523,14.9,31.7
Northwestern,9.36,7.56,68.8,104.4,.256,.495,12.3,25.4,100.0,.344,.504,17.3,24.7
Notre Dame,11.12,6.22,65.8,109.3,.268,.544,13.8,22.5,101.0,.221,.491,13.2,24.6
Oakland,-1.35,-3.85,69.0,107.3,.334,.502,15.3,31.4,98.9,.206,.495,18.2,33.3
Ohio State,14.34,9.00,65.4,112.0,.335,.548,14.8,28.8,103.9,.292,.479,13.1,28.6
Ohio,1.95,-4.21,68.9,107.3,.306,.508,13.3,27.2,97.8,.275,.500,18.5,25.8
Oklahoma State,13.30,10.60,68.8,96.9,.330,.480,18.4,32.3,93.1,.312,.456,19.5,31.4
Oklahoma,14.48,10.28,66.2,102.9,.279,.547,19.7,25.8,96.6,.265,.491,18.1,26.4
Old Dominion,-1.25,-0.03,65.7,100.8,.340,.473,15.3,32.2,101.7,.285,.496,14.9,27.4
Oral Roberts,-0.35,-3.99,72.2,114.4,.232,.544,11.9,28.4,102.2,.242,.496,12.8,23.4
Oregon State,-0.94,8.90,67.8,99.1,.276,.492,16.1,26.2,113.4,.291,.550,15.1,34.0
Oregon,10.91,8.39,68.6,105.2,.292,.514,14.8,29.7,100.7,.292,.491,16.7,30.5
Pacific,-7.59,0.84,69.5,94.3,.319,.468,15.8,22.7,104.2,.272,.540,17.1,22.1
Penn State,9.14,9.53,62.8,101.6,.218,.505,16.2,28.6,102.2,.262,.483,12.2,24.1
